"Ref","Valor","Footprint","Qtd"
"C1-C9","100nF","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","9"
"C10","47uF","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","1"
"IC2_PINS_1_12","IC2 pinos 1-12","Connector_PinSocket_2.54mm:PinSocket_1x12_P2.54mm_Vertical","1"
"IC2_PINS_13_24","IC2 pinos 13-24","Connector_PinSocket_2.54mm:PinSocket_1x12_P2.54mm_Vertical","1"
"J1","Sinais do TK-85","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Horizontal","1"
"RV1","22K","Potentiometer_THT:Potentiometer_Bourns_3266P_Horizontal","1"
"U1-U3","6116","Package_DIP:DIP-24_18.0mmx34.29mm_W15.24mm_LongPads","3"
"U4","2364 (IC2)","Package_DIP:DIP-24_18.0mmx34.29mm_W15.24mm_LongPads","1"
"U5,U6","74LS93","Package_DIP:DIP-14_W10.16mm","2"
"U7","74LS157","Package_DIP:DIP-16_W10.16mm","1"
"U8","74LS138","Package_DIP:DIP-16_W10.16mm","1"
"U9","74LS00","Package_DIP:DIP-14_W10.16mm","1"
